,Frequency,EFddec,EFfc,acceptor_type,Type,rHO,rOO,tOHO,sOHQM,OH_bond_order
79,3522.9399999999996,0.037511373666415,0.066246740582554,OH-,hydroxide,3.0,3.5,100.0,0.9087,0.9087
80,3458.9169999999995,0.048764622649926,0.099808883438402,H2O,hydroxide,2.39330382619926,3.26089596069853,147.523228638923,0.856,0.856
81,3194.572,0.036122695949464,0.059545638379157,OH-,water,2.01103315425181,2.95947993407626,160.193785317563,0.7706,0.7706
82,2700.118,0.056040288165085,0.108940865065195,OH-,water,1.72437682871233,2.71521543355219,167.954934715331,0.7208,0.7208
83,3344.128,0.072893424292182,0.109041425100129,OH-,hydroxide,2.11026490709624,2.7893851845434,124.748299159482,0.7964,0.7964
84,3549.392,0.008847200057915,0.006320290834629,OH-,water,3.0,3.5,100.0,0.8505,0.8505
85,3383.4759999999997,0.075443655942464,0.116634687918572,OH-,hydroxide,2.06345034323373,2.72330178661654,122.867632432863,0.7803,0.7803
86,3523.0049999999997,0.03933506167852,0.072188030171149,H2O,hydroxide,3.0,3.5,100.0,0.8992,0.8992
87,3104.638,0.087615237877234,0.145254926471254,OH-,hydroxide,1.89311791294151,2.65143186902851,131.022107515607,0.7422,0.7422
88,3524.7709999999997,0.010941290468661,0.013789153962069,OH-,water,3.0,3.5,100.0,0.8431,0.8431
89,2347.5470000000005,0.061887087116681,0.129977829792733,OH-,water,1.71947527452418,2.73506716367258,174.600877538779,0.7085,0.7085
90,3478.067,0.041191247939261,0.079717069771117,H2O,hydroxide,3.0,3.5,100.0,0.887,0.887
91,3038.1460000000006,0.090507429041404,0.152600326562705,OH-,hydroxide,1.82205119949012,2.61035932205695,133.877862840255,0.7475,0.7475
92,3525.917,0.012788606077473,0.018654715030663,OH-,water,3.0,3.5,100.0,0.8251,0.8251
93,3270.826,0.039476437210828,0.082993379224454,O2-,water,1.9937457086098,2.70456657363061,126.97398340125,0.7616,0.7616
94,3544.6800000000003,0.040504402603127,0.081090428044702,H2O,hydroxide,3.0,3.5,100.0,0.8758,0.8758
95,3374.8680000000004,0.075092508003271,0.109955554041003,OH-,hydroxide,2.11337727408052,2.74890057699437,120.893942111156,0.788,0.788
96,3455.1940000000004,0.04938241643101,0.088985188831115,OH-,hydroxide,2.47251380879344,3.3232958664087,145.266966196514,0.8466,0.8466
