,Frequency,acceptor_type,Type,EFddec,EFfc,rHO,rOO,tOHO,sOH
25,2780.989109553732,H2O,water,,0.1128397935992384,1.683459126413679,2.6871582860293044,176.534565980467,0.8213529789657126
26,2977.307049298551,H2O,water,,0.06585433316613,1.7687930152369558,2.75077164438678,167.2660848165239,0.8503950253635074
27,3017.069185539841,H2O,water,,0.0987733309110038,1.7337754499782267,2.7244439964089207,173.87232212898792,0.8416964680556449
28,3030.344570763704,H2O,water,,0.0827748108756224,1.7338180475844909,2.721397109368672,172.02360158823868,0.8415089844524302
29,3045.411897097657,H2O,water,,0.075273645260448,1.731560360692043,2.7166256702448712,170.28234343311752,0.8363624420016608
30,3019.3771873345736,H2O,water,,0.0868663731717978,1.7766981685101717,2.762447604943626,170.38585833990254,0.8529925147656348
31,3144.547394996173,O2-,water,,0.0254225478648872,1.8142103433139305,2.7962542879480217,170.60392541971785,0.8586973464973706
32,3183.659703132857,H2O,water,,0.1199484102592167,1.9143638037001705,2.843755192371165,155.1255374091366,0.8712377654727357
33,3135.115115120079,O2-,water,,0.064877203293981,1.803145057659915,2.783963838791796,170.26409720398658,0.8548880614107311
34,3133.8812247338537,O2-,water,,0.1013453882695445,1.753930842514483,2.7252538709349285,165.93566500666202,0.8490098033495873
35,3099.001826753324,O2-,water,,0.0555088019298305,1.749359259194059,2.7152863565966467,163.4729961610561,0.843788897614818
36,2822.9491782132545,H2O,water,,0.1150721799529682,1.6886990463808356,2.692070425724584,177.15848850073996,0.8235977750814797
37,2971.384413093291,O2-,water,,0.0946937876529305,1.6799612704531828,2.6640908467581315,168.62944967497768,0.8187032816292091
38,3118.2323963586477,O2-,water,,0.0798810149765772,1.7545405840468502,2.719201260142797,163.83121317865528,0.8488923236987294
39,3098.5171618705267,O2-,water,,0.0671765398488953,1.8197862947590848,2.7980407669599203,168.07917552661738,0.8622314178440279
40,2904.180751123713,O2-,water,,0.0826807581653499,1.750251993857136,2.7442719714949493,173.01213553625757,0.8075639486339776
41,2904.180751123713,O2-,water,,0.0826807581653499,1.750251993857136,2.7442719714949493,173.01213553625757,0.8075639486339776
42,2904.180751123713,O2-,water,,0.0826807581653499,1.750251993857136,2.7442719714949493,173.01213553625757,0.8075639486339776
43,2632.1015266326904,H2O,water,,0.1485380769164934,1.6163330026255458,2.6138788915180697,168.20478809461147,0.7736122311768789
44,2632.1015266326904,H2O,water,,0.1485380769164934,1.6163330026255458,2.6138788915180697,168.20478809461147,0.7736122311768789
45,2632.1015266326904,H2O,water,,0.1485380769164934,1.6163330026255458,2.6138788915180697,168.20478809461147,0.7736122311768789
46,2785.6341033490803,O2-,water,,0.0825228772357349,1.6503216213884808,2.652368908708409,177.50452044314113,0.7837939228101147
47,2785.6341033490803,O2-,water,,0.0825228772357349,1.6503216213884808,2.652368908708409,177.50452044314113,0.7837939228101147
48,2785.6341033490803,O2-,water,,0.0825228772357349,1.6503216213884808,2.652368908708409,177.50452044314113,0.7837939228101147
49,2942.0791972783863,O2-,water,,0.0399994638113452,1.741097167437591,2.7237343392626703,167.9084803079146,0.8155298281278999
50,2942.0791972783863,O2-,water,,0.0399994638113452,1.741097167437591,2.7237343392626703,167.9084803079146,0.8155298281278999
51,2942.0791972783863,O2-,water,,0.0399994638113452,1.741097167437591,2.7237343392626703,167.9084803079146,0.8155298281278999
52,2655.859615461144,H2O,water,,0.1409761552375385,1.6442182954262852,2.65084025812839,174.1728426373631,0.7867242561183592
53,2655.859615461144,H2O,water,,0.1409761552375385,1.6442182954262852,2.65084025812839,174.1728426373631,0.7867242561183592
54,2655.859615461144,H2O,water,,0.1409761552375385,1.6442182954262852,2.65084025812839,174.1728426373631,0.7867242561183592
55,2893.651477000957,O2-,water,,0.075862040325804,1.7458907056766184,2.7442080469431858,176.91014296089585,0.8133187076141464
56,2893.651477000957,O2-,water,,0.075862040325804,1.7458907056766184,2.7442080469431858,176.91014296089585,0.8133187076141464
57,2893.651477000957,O2-,water,,0.075862040325804,1.7458907056766184,2.7442080469431858,176.91014296089585,0.8133187076141464
58,2785.154787345786,O2-,water,,0.088638345101683,1.6852577962291573,2.683073070956083,172.12777579626288,0.7920414155286136
59,2785.154787345786,O2-,water,,0.088638345101683,1.6852577962291573,2.683073070956083,172.12777579626288,0.7920414155286136
60,2785.154787345786,O2-,water,,0.088638345101683,1.6852577962291573,2.683073070956083,172.12777579626288,0.7920414155286136
61,2599.6934681772423,H2O,water,,0.134349086273862,1.6103458845340113,2.61613312258132,171.9992716190826,0.7740069454198009
62,2599.6934681772423,H2O,water,,0.134349086273862,1.6103458845340113,2.61613312258132,171.9992716190826,0.7740069454198009
63,2599.6934681772423,H2O,water,,0.134349086273862,1.6103458845340113,2.61613312258132,171.9992716190826,0.7740069454198009
64,2935.1018467993235,O2-,water,,0.0668134536583281,1.7366312427221595,2.713754689204237,165.3759221321101,0.8240165728144946
65,2935.1018467993235,O2-,water,,0.0668134536583281,1.7366312427221595,2.713754689204237,165.3759221321101,0.8240165728144946
66,2935.1018467993235,O2-,water,,0.0668134536583281,1.7366312427221595,2.713754689204237,165.3759221321101,0.8240165728144946
67,2664.855695098727,H2O,water,,0.1336081791288489,1.645027106158354,2.6500149805920388,172.20758954312166,0.7875395191186109
68,2664.855695098727,H2O,water,,0.1336081791288489,1.645027106158354,2.6500149805920388,172.20758954312166,0.7875395191186109
69,2664.855695098727,H2O,water,,0.1336081791288489,1.645027106158354,2.6500149805920388,172.20758954312166,0.7875395191186109
70,2862.777931550373,H2O,water,,0.1101236687074155,1.7024572570376262,2.70217964835773,174.60315642228326,0.8207658787002339
71,2862.777931550373,H2O,water,,0.1101236687074155,1.7024572570376262,2.70217964835773,174.60315642228326,0.8207658787002339
72,2862.777931550373,H2O,water,,0.1101236687074155,1.7024572570376262,2.70217964835773,174.60315642228326,0.8207658787002339
73,2907.809252105772,O2-,water,,0.0873361130457446,1.7107709999914322,2.70763124417484,174.49945434081926,0.8112626268701029
74,2907.809252105772,O2-,water,,0.0873361130457446,1.7107709999914322,2.70763124417484,174.49945434081926,0.8112626268701029
75,2907.809252105772,O2-,water,,0.0873361130457446,1.7107709999914322,2.70763124417484,174.49945434081926,0.8112626268701029
76,3089.6064621010314,O2-,water,,0.0689940209162992,1.7533079499294923,2.691968331326979,156.47986832189238,0.8348982927529667
77,3089.6064621010314,O2-,water,,0.0689940209162992,1.7533079499294923,2.691968331326979,156.47986832189238,0.8348982927529667
78,3089.6064621010314,O2-,water,,0.0689940209162992,1.7533079499294923,2.691968331326979,156.47986832189238,0.8348982927529667
79,3308.6827615701304,O2-,water,,0.0643095646422254,1.9529979225891048,2.860321553555256,152.13131095338406,0.8707658863299305
80,3308.6827615701304,O2-,water,,0.0643095646422254,1.9529979225891048,2.860321553555256,152.13131095338406,0.8707658863299305
81,3308.6827615701304,O2-,water,,0.0643095646422254,1.9529979225891048,2.860321553555256,152.13131095338406,0.8707658863299305
82,3145.088227565557,O2-,water,,0.0679202493497567,1.8367087957775927,2.7946378887158336,161.837240366137,0.8528551500325433
83,3145.088227565557,O2-,water,,0.0679202493497567,1.8367087957775927,2.7946378887158336,161.837240366137,0.8528551500325433
84,3145.088227565557,O2-,water,,0.0679202493497567,1.8367087957775927,2.7946378887158336,161.837240366137,0.8528551500325433
85,3376.8666641799764,O2-,water,,0.1953186750018208,2.0043404138491647,2.9509640376309973,161.46183420835763,0.8789260950476051
86,3376.8673097537567,O2-,water,,0.1953186039956345,2.004340940648184,2.950964566437849,161.46183570517857,0.8789261755872756
87,3043.701581120836,O2-,water,,0.0912474540946911,1.6954727395526694,2.684893605569973,173.60036720707248,0.8214367556592602
88,3077.461137201072,O2-,water,,0.0583169611526422,1.7666638944947042,2.7533581699458174,173.80340979988955,0.8421017631888323
89,2956.5068298608985,O2-,water,,0.0733301600590392,1.7445221180707444,2.7357576760056617,171.35634406146778,0.8311240526374106
90,3173.2783433062173,O2-,water,,0.0567447096818408,1.829168101358964,2.8152278636868595,176.25660058172878,0.8612248452978976
91,3006.420205099118,O2-,water,,0.0640486596747704,1.7211855850258757,2.7143118114101754,176.49250730403892,0.8244309496879982
92,2971.9253019135704,O2-,water,,0.0723631848716702,1.6940527202212008,2.684277580883234,172.4594561295047,0.8178902825191398
93,3238.0685176880406,O2-,water,,0.0419564481000749,1.8760701434182536,2.8223609226586874,159.97593449565613,0.866340350659367
94,3083.7072978642336,O2-,water,,0.04946835822555,1.819367350113625,2.8040106438344665,171.09269489495588,0.8488180172549948
95,2871.2186368892853,H2O,water,,0.1223238027619381,1.7099909063761425,2.7019993796552155,169.65832099243113,0.8236257601251622
96,3132.600953519749,H2O,water,,0.1010350256315559,1.8026572930603244,2.78241409231402,170.1365712402523,0.8503974265313579
97,3011.3219909424693,H2O,water,,0.0892157245919231,1.7742760426681623,2.761017138164232,171.106361919796,0.8479894660815614
98,3161.9366926166804,O2-,water,,0.059250221865405,1.8452809546753912,2.7931086374145835,159.10975315300013,0.8680284418685049
99,3071.9860526533,H2O,water,,0.1111064869505497,1.7944691940071396,2.7722181509297443,167.15733616341825,0.8538959404306639
